"#","g#","Cover","Album","Streams","Daily"
"","690","","Superache Conan Gray","1,860,642,636","1,405,678"
"","691","","Gemini Macklemore","1,856,859,489","402,440"
"","692","","Dopamine Børns","1,854,584,532","745,311"
"","693","","Sin Miedo (Del Amor Y Otros Demonios) ∞ Kali Uchis","1,852,119,628","1,130,585"
"","694","","Tourist History Two Door Cinema Club","1,851,865,658","985,152"
"","695","","Poems Of The Past Powfu","1,849,587,490","574,458"
"","696","","Issa Album 21 Savage","1,848,277,782","304,066"
"","697","","Chocolate Starfish And The Hot Dog Flavored Water Limp Bizkit","1,847,435,834","1,358,147"
"","698","","Bebe Bebe Rexha","1,846,325,758","1,597,663"
"","699","","From Under The Cork Tree Fall Out Boy","1,845,217,803","909,240"
"","700","","Woodstock Portugal. The Man","1,844,030,465","701,370"
"","701","","Alone At Prom Tory Lanez","1,842,627,872","2,480,055"
"","702","","Out Of Time R.E.M.","1,839,568,382","1,060,470"
"","703","","The Great Gatsby Various Artists","1,837,403,353","1,356,118"
"","704","","Grease Various Artists","1,836,529,533","1,008,582"
"","705","","Sueños Sech","1,835,777,143","418,746"
"","706","","Electra Heart Marina","1,834,220,131","782,421"
"","707","","Montevallo Sam Hunt","1,833,652,998","343,065"
"","708","","Don't Forget About Me, Demos Dominic Fike","1,832,047,097","1,554,117"
"","709","","Hot Space Queen","1,828,272,558","906,376"
"","710","","A Fever You Can't Sweat Out Panic! At The Disco","1,824,570,967","639,924"
"","711","","All Stand Together Lost Frequencies","1,822,757,127","2,177,821"
"","712","","Ayayay! Christian Nodal","1,820,002,681","770,805"
"","713","","Gangsta's Paradise Coolio","1,818,311,352","1,372,604"
"","714","","Reclassified Iggy Azalea","1,817,983,762","441,693"
"","715","","Armageddon (The Album) Various Artists","1,815,046,508","1,130,606"
"","716","","Oral Fixation Vol. 2 Shakira","1,813,708,309","1,265,936"
"","717","","MKTO MKTO","1,809,433,274","574,849"
"","718","","Ahora Christian Nodal","1,808,455,266","965,396"
"","719","","Here's To The Good Times Florida Georgia Line","1,806,368,145","426,944"
"","720","","Things I Wanted To Tell You Kina","1,805,438,669","424,110"
"","721","","Only Honest On The Weekend Becky Hill","1,805,005,253","1,002,263"
"","722","","Last Day Of Summer Summer Walker","1,804,948,049","2,268,426"
"","723","","Feed The Beast Kim Petras","1,803,181,799","897,965"
"","724","","F.A.M.E. Chris Brown","1,801,698,887","718,222"
"","725","","Come On Over Shania Twain","1,801,069,034","1,074,111"
"","726","","Tango In The Night Fleetwood Mac","1,799,708,329","1,174,893"
"","727","","LSD Labrinth, Sia & Diplo","1,799,599,995","451,506"
"","728","","I Am You YNW Melly","1,798,954,708","537,086"
"","729","","Kabir Singh (कबीर सिंह) Various Artists","1,798,106,415","1,716,014"
"","730","","Plastic Beach Gorillaz","1,796,383,873","1,163,165"
"","731","","Melophobia Cage The Elephant","1,793,524,269","1,262,698"
"","732","","Layover V","1,792,450,905","3,100,219"
"","733","","Riot! Paramore","1,787,005,679","924,467"
"","734","","Calm 5 Seconds of Summer","1,785,102,903","595,860"
"","735","","Mad Love The Prequel Sean Paul","1,783,374,620","803,559"
"","736","","Dangerous Minds Various Artists","1,778,328,960","1,358,149"
"","737","","Non-Fiction Ne-Yo","1,777,176,431","1,210,818"
"","738","","Ahora Reik","1,775,580,698","355,531"
"","739","","Babel Mumford & Sons","1,773,981,314","432,219"
"","740","","The Script The Script","1,772,769,914","1,608,455"
"","741","","Human Rag'n'Bone Man","1,772,762,090","791,585"
"","742","","Jack Ü Skrillex & Diplo","1,769,638,752","365,509"
"","743","","Wonder Shawn Mendes","1,769,054,557","470,207"
"","744","","Isolation Kali Uchis","1,768,004,308","940,640"
"","745","","VHS X Ambassadors","1,767,878,904","544,862"
"","746","","Uprising Bob Marley & The Wailers","1,767,374,954","1,147,320"
"","747","","DS2 Future","1,766,620,998","932,172"
"","748","","The Divine Feminine Mac Miller","1,765,547,748","784,377"
"","749","","Blue Neighbourhood Troye Sivan","1,765,204,379","234,788"
"","750","","Dreaming Out Loud OneRepublic","1,756,957,727","799,020"
"","751","","Tha Carter V Lil Wayne","1,756,897,066","532,231"
"","752","","X Chris Brown","1,748,728,013","562,349"
"","753","","Eyes Open Snow Patrol","1,747,153,838","816,827"
"","754","","Last Year Was Complicated Nick Jonas","1,746,157,961","386,987"
"","755","","The Stranger Billy Joel","1,746,084,356","1,229,256"
"","756","","Girl Pharrell Williams","1,744,164,589","535,680"
"","757","","Smile Katy Perry","1,742,115,867","474,108"
"","758","","Despicable Me 2 Heitor Pereira, Pierre Coffin & Pharrell Williams","1,739,503,240","755,247"
"","759","","The London Sessions Tiësto","1,739,173,912","307,788"
"","760","","The Book Yoasobi","1,737,184,896","766,541"
"","761","","Sorry For Party Rocking LMFAO","1,735,720,488","739,832"
"","762","","Light Of Mine Kyle","1,734,316,623","205,920"
"","763","","Inside (The Songs) Bo Burnham","1,729,357,758","634,690"
"","764","","Who Really Cares TV Girl","1,728,025,947","3,004,077"
"","765","","Artist A Boogie Wit da Hoodie","1,725,944,767","723,548"
"","766","","We Gnash","1,723,793,167","277,406"
"","767","","Who You Are Jessie J","1,723,553,490","767,068"
"","768","","Fórmula Vol. 1 Romeo Santos","1,722,757,196","1,434,421"
"","769","","Three Cheers For Sweet Revenge My Chemical Romance","1,720,454,953","1,057,314"
"","770","","Still Sleep? Sleepy Hallow","1,717,173,644","1,265,045"
"","771","","Raymond V Raymond Usher","1,716,985,826","1,588,126"
"","772","","Short N' Sweet Sabrina Carpenter","1,714,899,056","0"
"","773","","Nicotine Trevor Daniel","1,712,978,022","745,775"
"","774","","No Need To Argue The Cranberries","1,712,220,233","1,087,385"
"","775","","In A Perfect World Kodaline","1,707,227,290","535,308"
"","776","","Joanne Lady Gaga","1,707,069,990","433,837"
"","777","","Energy Disclosure","1,704,592,758","289,076"
"","778","","Sad Boyz 4 Life II Junior H","1,703,857,926","5,338,018"
"","779","","K.I.D.S. Mac Miller","1,702,770,447","1,203,042"
"","780","","These Things Happen G-Eazy","1,701,521,238","992,508"
"","781","","Awake Skillet","1,701,372,056","1,246,171"
"","782","","Ugly Is Beautiful Oliver Tree","1,700,342,836","419,615"
"","783","","In The Zone Britney Spears","1,699,624,194","1,402,569"
"","784","","Lil Uzi Vert VS. The World Lil Uzi Vert","1,696,736,716","408,133"
"","785","","Come Home The Kids Miss You Jack Harlow","1,694,369,016","692,624"
"","786","","The Last Aventura","1,692,991,860","1,753,824"
"","787","","Mellon Collie And The Infinite Sadness The Smashing Pumpkins","1,691,475,563","1,119,207"
"","788","","Deux Frères PNL","1,689,816,551","578,812"
"","789","","Tracy Chapman Tracy Chapman","1,687,817,973","1,046,743"
"","790","","Finally Rich Chief Keef","1,685,280,658","966,003"
"","791","","This Old Dog Mac DeMarco","1,683,599,879","1,527,780"
"","792","","Skins XXXTentacion","1,681,158,583","769,653"
"","793","","New Eyes Clean Bandit","1,680,369,664","541,276"
"","794","","Unreal Unearth Hozier","1,679,996,957","7,187,632"
"","795","","The Lion King Elton John & Hans Zimmer","1,679,729,945","712,055"
"","796","","Everything Is 4 Jason Derulo","1,678,633,392","419,496"
"","797","","Sweet Talker Jessie J","1,677,885,628","543,586"
"","798","","Familia Camila Cabello","1,676,513,605","571,949"
"","799","","Elephunk Black Eyed Peas","1,676,472,272","1,020,906"
"","800","","The Slow Rush Tame Impala","1,675,743,158","1,125,717"
"","801","","Oxymoron ScHoolboy Q","1,675,674,594","1,100,533"
"","802","","I Decided. Big Sean","1,673,728,589","130,780"
"","803","","Come Away With Me Norah Jones","1,673,354,275","910,917"
"","804","","B'Day Beyoncé","1,671,239,039","738,422"
"","805","","Tim Avicii","1,666,925,850","330,524"
"","806","","Is This It The Strokes","1,661,978,342","1,070,999"
"","807","","Mac And Devin Go To High School Snoop Dogg & Wiz Khalifa","1,657,731,651","611,815"
"","808","","Mezmerize System Of A Down","1,656,686,035","943,367"
"","809","","La Última Promesa Justin Quiles","1,656,495,651","328,850"
"","810","","Every Kingdom Ben Howard","1,655,183,482","336,262"
"","811","","Desvelado Eslabon Armado","1,653,688,426","1,020,373"
"","812","","King Of Kings Don Omar","1,652,175,652","1,256,206"
"","813","","Top Shotta NLE Choppa","1,647,065,854","499,340"
"","814","","Crash My Party Luke Bryan","1,644,605,936","568,622"
"","815","","Everyday Is Christmas Sia","1,644,346,501","301,197"
"","816","","Victory Wisin","1,643,629,930","277,824"
"","817","","Dan + Shay Dan + Shay","1,643,197,769","413,739"
"","818","","Esquemas Becky G","1,640,983,107","967,635"
"","819","","Breathe Felix Jaehn","1,640,109,298","237,959"
"","820","","Good News Megan Thee Stallion","1,639,204,736","383,137"
"","821","","Sempiternal Bring Me The Horizon","1,635,910,356","972,619"
"","822","","In A Tidal Wave Of Mystery Capital Cities","1,634,876,950","1,047,281"
"","823","","Rage Against The Machine Rage Against The Machine","1,632,732,693","739,745"
"","824","","Mutter Rammstein","1,632,295,888","1,280,511"
"","825","","In Tongues Joji","1,631,036,317","539,313"
"","826","","Amala Doja Cat","1,629,970,905","1,162,226"
"","827","","Walking On A Dream Empire of the Sun","1,629,032,783","1,392,356"
"","828","","Good Things Dan + Shay","1,627,390,026","375,245"
"","829","","The 20/20 Experience Justin Timberlake","1,626,762,817","681,639"
"","830","","Songs For Dads The Walters","1,625,447,395","1,714,721"
"","831","","Everybody's Everything Lil Peep","1,624,548,566","919,386"
"","832","","Demons Protected By Angels Nav","1,618,781,651","648,141"
"","833","","Nellyville Nelly","1,618,594,744","869,288"
"","834","","The Slim Shady LP Eminem","1,616,758,833","659,503"
"","835","","Steve Lacy's Demo Steve Lacy","1,615,810,205","1,360,121"
"","836","","Audioslave Audioslave","1,615,657,993","831,191"
"","837","","Unforgiven Le Sserafim","1,613,683,671","1,231,193"
"","838","","Second Helping Lynyrd Skynyrd","1,613,304,066","806,975"
"","839","","La La Land Justin Hurwitz & Various Artists","1,613,223,696","535,985"
"","840","","Justified Justin Timberlake","1,610,996,500","951,442"
"","841","","xx The xx","1,608,651,271","540,877"
"","842","","Hot Shot Shaggy","1,608,332,089","797,605"
"","843","","PCD The Pussycat Dolls","1,606,314,184","798,342"
"","844","","Vives Carlos Vives","1,605,603,022","706,819"
"","845","","Spice Spice Girls","1,602,930,764","864,844"
"","846","","Stankonia Outkast","1,600,642,105","1,090,486"
"","847","","Exclusive Chris Brown","1,599,779,863","1,083,738"
"","848","","MTV Unplugged In New York Nirvana","1,599,571,163","637,099"
"","849","","The Writing's On The Wall Destiny's Child","1,598,430,930","699,539"
"","850","","Flume Flume","1,598,073,317","383,014"
"","851","","The Papercut Chronicles II Gym Class Heroes","1,591,816,880","706,281"
"","852","","1984 Van Halen","1,591,615,351","680,821"
"","853","","Éxodo Peso Pluma","1,590,324,957","12,509,058"
"","854","","Northsbest Lil Mosey","1,589,886,174","223,230"
"","855","","Toast To Our Differences Rudimental","1,584,863,394","328,116"
"","856","","Ao Vivo No Ibirapuera Henrique & Juliano","1,582,363,207","809,485"
"","857","","Christmas Kisses Ariana Grande","1,581,187,136","90,383"
"","858","","Whitney Whitney Houston","1,581,168,497","775,203"
"","859","","Honeymoon Lana Del Rey","1,579,620,300","1,370,995"
"","860","","Colmillo De Leche Carín León","1,578,637,143","2,395,370"
"","861","","Love.Angel.Music.Baby. Gwen Stefani","1,574,699,865","859,825"
"","862","","Help! The Beatles","1,573,611,028","743,193"
"","863","","Pink Friday 2 Nicki Minaj","1,573,360,291","1,176,403"
"","864","","Get Up NewJeans","1,570,328,800","1,919,960"
"","865","","What A Time To Be Alive Tom Walker","1,559,894,008","344,565"
"","866","","Todos Os Cantos, Vol. 1 (Ao Vivo) Marília Mendonça","1,558,033,692","431,105"
"","867","","Day69 6ix9ine","1,556,601,508","327,651"
"","868","","Pronounced 'Leh-'Nérd 'Skin-'Nérd Lynyrd Skynyrd","1,555,712,821","792,193"
"","869","","Rolling Papers Wiz Khalifa","1,555,351,021","503,770"
"","870","","French Exit TV Girl","1,553,908,125","2,255,862"
"","871","","Dire Straits Dire Straits","1,553,668,571","1,184,492"
"","872","","Urban Hymns The Verve","1,553,562,853","835,756"
"","873","","The Foundation Zac Brown Band","1,552,480,060","661,712"
"","874","","Fuck The World Brent Faiyaz","1,552,414,616","1,131,497"
"","875","","Dopamina Manuel Turizo","1,550,265,035","826,772"
"","876","","Jason Derulo Jason Derulo","1,547,304,431","620,832"
"","877","","Communion Years & Years","1,547,003,928","486,882"
"","878","","When the Sun Goes Down Selena Gomez & The Scene","1,546,296,520","946,103"
"","879","","To Hell With It PinkPantheress","1,545,709,916","2,003,573"
"","880","","Spider-Man: Across The Spider-Verse Metro Boomin","1,545,706,922","1,459,432"
"","881","","Ashlyn Ashe","1,543,808,664","1,009,379"
"","882","","The Documentary The Game","1,540,967,740","1,067,102"
"","883","","Skin Flume","1,540,502,275","471,480"
"","884","","Wrld On Drugs Future & Juice WRLD","1,540,287,529","304,346"
"","885","","Lil Pump Lil Pump","1,539,955,715","79,942"
"","886","","Diary 001 Clairo","1,538,861,037","958,812"
"","887","","The Greatest Showman: Reimagined Various Artists","1,537,757,594","795,474"
"","888","","Witness Katy Perry","1,536,200,829","376,921"
"","889","","Combat Rock The Clash","1,535,236,370","1,186,060"
"","890","","Music From The Edge Of Heaven Wham!","1,534,949,524","187,908"
"","891","","Love And Sex Plan B","1,533,986,324","1,316,688"
"","892","","Artist 2.0 A Boogie Wit da Hoodie","1,531,991,164","421,515"
"","893","","All My Demons Greeting Me As A Friend Aurora","1,529,697,891","708,584"
"","894","","Muerte Canserbero","1,527,781,368","1,265,323"
"","895","","The Aviary Galantis","1,527,725,016","221,316"
"","896","","The Bigger Artist A Boogie Wit da Hoodie","1,527,581,176","386,248"
"","897","","Wunna Gunna","1,522,309,283","547,492"
"","898","","Bleed American Jimmy Eat World","1,522,126,270","1,127,780"
"","899","","Black Holes And Revelations Muse","1,522,037,366","984,828"
"","900","","Soul Searching Bazzi","1,520,693,283","227,152"
"","901","","#willpower will.i.am","1,519,094,895","507,960"
"","902","","¿A Dónde Vamos? Morat","1,515,812,970","834,047"
"","903","","Back To Bedlam James Blunt","1,514,525,738","527,521"
"","904","","Versions Of Me Anitta","1,514,085,743","399,869"
"","905","","Kill This Love Blackpink","1,513,487,989","500,793"
"","906","","A Brief Inquiry Into Online Relationships The 1975","1,512,461,564","430,007"
"","907","","Beautiful Trauma P!nk","1,507,840,630","352,021"
"","908","","Hndrxx Future","1,507,284,951","744,732"
"","909","","Heartbreak Weather Niall Horan","1,505,556,837","436,638"
"","910","","Layers Kungs","1,504,835,807","555,776"
"","911","","Bobby Tarantino II Logic","1,502,302,756","151,492"
"","912","","Dónde Están Los Ladrones? Shakira","1,502,125,379","1,022,849"
"","913","","A Love Letter To You 3 Trippie Redd","1,500,330,114","328,558"
"","914","","One More Light Linkin Park","1,499,873,913","435,991"
"","915","","The Score Fugees","1,498,778,630","719,886"
"","916","","Small Town Boy Duncan Laurence","1,498,357,986","678,178"
"","917","","Sweet Dreams (Are Made Of This) Eurythmics","1,498,225,941","1,160,520"
"","918","","We Don't Trust You Future & Metro Boomin","1,498,205,351","4,613,557"
"","919","","Racine Carrée Stromae","1,495,754,626","624,297"
"","920","","Master Of Puppets Metallica","1,495,549,015","838,688"
"","921","","Let's Skip To The Wedding Eyedress","1,494,760,297","1,809,852"
"","922","","Islah Kevin Gates","1,494,643,945","338,584"
"","923","","Immortalized Disturbed","1,492,926,666","550,077"
"","924","","The Human Condition Jon Bellion","1,492,772,541","206,089"
"","925","","Inside In / Inside Out The Kooks","1,488,110,656","791,476"
"","926","","Ceremonials Florence + The Machine","1,486,541,830","623,977"
"","927","","Southside Sam Hunt","1,483,906,272","379,696"
"","928","","Monkey Business Black Eyed Peas","1,483,883,104","880,749"
"","929","","Die For My Bitch Baby Keem","1,483,471,754","900,514"
"","930","","Kaya Bob Marley & The Wailers","1,482,200,286","870,743"
"","931","","Blink-182 Blink-182","1,481,602,166","745,097"
"","932","","Esquece O Mundo Lá Fora (Ao Vivo) Zé Neto & Cristiano","1,480,292,005","648,259"
"","933","","Immunity Clairo","1,480,035,659","1,064,717"
"","934","","Living Things Linkin Park","1,479,639,452","805,814"
"","935","","Tangled Up Thomas Rhett","1,478,086,900","329,478"
"","936","","Nervous System Julia Michaels","1,477,472,562","231,804"
"","937","","Bloom MGK","1,475,805,543","255,160"
"","938","","Under The Mistletoe Justin Bieber","1,474,089,340","85,396"
"","939","","Chapter 1: Snake Oil / Chapter 2: Swamp Savant Diplo","1,471,870,768","1,005,908"
"","940","","Fantasía Sebastian Yatra","1,471,071,433","419,322"
"","941","","For Emma, Forever Ago Bon Iver","1,470,984,889","499,594"
"","942","","Busca Una Mujer Luis Miguel","1,469,181,354","799,379"
"","943","","All Hope Is Gone Slipknot","1,468,268,643","791,005"
"","944","","Vultures 1 Kanye West & Ty Dolla Sign","1,467,410,206","2,203,956"
"","945","","Paper Trail T.I.","1,464,967,687","515,572"
"","946","","Pharmacy Galantis","1,464,686,347","399,611"
"","947","","Thank You Meghan Trainor","1,464,132,724","444,954"
"","948","","O My Heart Mother Mother","1,463,615,920","702,736"
"","949","","United Marvin Gaye & Tammi Terrell","1,463,608,725","813,271"
"","950","","The Miseducation Of Lauryn Hill Ms. Lauryn Hill","1,463,070,163","999,618"
"","951","","Life Changes Thomas Rhett","1,462,971,004","270,986"
"","952","","Cry Cigarettes After Sex","1,462,456,477","1,876,593"
"","953","","Infinity On High Fall Out Boy","1,461,531,811","677,135"
"","954","","Cosmo's Factory Creedence Clearwater Revival","1,460,674,308","1,292,229"
"","955","","Don't Stop The Magic Grupo Marca Registrada","1,460,660,619","1,003,474"
"","956","","Pink Tape Lil Uzi Vert","1,459,715,962","982,471"
"","957","","God's Project Aventura","1,458,696,801","1,270,936"
"","958","","The Academy Various Artists","1,458,512,896","498,461"
"","959","","La Vida Es Una Myke Towers","1,457,931,444","1,536,280"
"","960","","Gettin' Old Luke Combs","1,457,039,241","2,040,072"
"","961","","Serotonin Dreams BoyWithUke","1,456,760,145","706,668"
"","962","","Hotel Diablo MGK","1,456,050,631","519,133"
"","963","","Paradise Again Swedish House Mafia","1,453,978,775","1,345,925"
"","964","","Infest Papa Roach","1,453,341,628","847,026"
"","965","","Prisma Beret","1,452,026,115","377,605"
"","966","","Bad Vibes Forever XXXTentacion","1,451,447,965","936,329"
"","967","","Taylor Swift Taylor Swift","1,450,865,204","983,344"
"","968","","Aftermath The Rolling Stones","1,448,657,356","994,593"
"","969","","Kane Brown Kane Brown","1,448,344,563","343,023"
"","970","","Tea For The Tillerman Yusuf / Cat Stevens","1,447,952,646","601,293"
"","971","","Hounds Of Love Kate Bush","1,447,319,609","612,353"
"","972","","Austin Post Malone","1,447,059,545","1,388,306"
"","973","","Nothing Happens Wallows","1,444,768,197","753,939"
"","974","","Everybody Else Is Doing It, So Why Can't We? The Cranberries","1,443,070,121","1,692,420"
"","975","","The Magic Of Christmas / The Christmas Song Nat King Cole","1,442,226,501","65,792"
"","976","","In A Perfect World... Keri Hilson","1,441,236,639","1,125,313"
"","977","","DS4Ever Gunna","1,440,068,032","675,674"
"","978","","Super Trouper ABBA","1,437,289,391","1,083,642"
"","979","","Harverd Dropout Lil Pump","1,437,037,830","158,877"
"","980","","Man On The Moon II: The Legend Of Mr. Rager Kid Cudi","1,435,641,501","592,000"
"","981","","Everything I Didn't Say Ella Henderson","1,434,593,266","853,456"
"","982","","Coco Michael Giacchino & Various Artists","1,433,742,793","544,369"
"","983","","Fleetwood Mac Fleetwood Mac","1,432,275,756","825,269"
"","984","","Evol Future","1,431,539,863","557,419"
"","985","","Spirit Leona Lewis","1,430,919,627","467,557"
"","986","","Que Bendición Banda MS De Sergio Lizárraga","1,430,756,265","679,321"
"","987","","Aladdin (2019) Various Artists","1,430,053,652","451,093"
"","988","","Angel Face Stephen Sanchez","1,429,625,216","1,441,494"
"","989","","The Bends Radiohead","1,426,431,778","1,022,071"
"","990","","American Dream 21 Savage","1,425,570,097","2,701,059"
"","991","","Hypnotize System Of A Down","1,425,198,291","943,918"
"","992","","Platonicos Jay Wheeler","1,424,517,722","2,195,249"
"","993","","The Bodyguard Whitney Houston & Various Artists","1,422,771,729","666,195"
"","994","","Late Night Feelings Mark Ronson","1,421,626,635","689,449"
"","995","","Dutty Rock Sean Paul","1,421,478,137","830,887"
"","996","","Depression Cherry Beach House","1,421,326,096","1,021,030"
"","997","","Montgomery Ricky Ricky Montgomery","1,419,485,403","1,022,988"
"","998","","El Amor En Los Tiempos Del Perreo Piso 21","1,418,130,116","602,751"
"","999","","Lemonade Beyoncé","1,416,797,729","540,582"
"","1,000","","New Jeans NewJeans","1,414,791,675","1,043,996"
"","1,001","","Waking Up OneRepublic","1,413,599,825","551,918"
"","1,002","","Sob Rock John Mayer","1,412,388,228","403,256"
"","1,003","","Hatful Of Hollow The Smiths","1,411,851,338","1,488,008"
"","1,004","","Special Lizzo","1,406,707,942","427,209"
"","1,005","","The Queen Is Dead The Smiths","1,406,551,119","1,257,112"
"","1,006","","Pink Planet Pink Sweats","1,406,506,375","361,242"
"","1,007","","The Fifty / The Beginning Fifty Fifty","1,405,296,579","759,308"
"","1,008","","Rammstein Rammstein","1,404,472,496","782,418"
"","1,009","","Dangerous Levels Of Introspection JP Saxe","1,404,199,947","447,586"
"","1,010","","Munay Pedro Capó","1,404,118,573","277,166"
"","1,011","","Stop Staring At The Shadows Suicideboys","1,403,279,827","916,099"
"","1,012","","Dark Horse Nickelback","1,402,857,015","789,638"
"","1,013","","Sugar Papi Marshmello","1,401,490,592","1,970,949"
"","1,014","","Cowboy Carter Beyoncé","1,400,990,857","2,285,822"
"","1,015","","Savage Mode 21 Savage","1,400,602,261","298,564"
"","1,016","","Gorillaz Gorillaz","1,400,307,958","830,187"
"","1,017","","O Céu Explica Tudo (Ao Vivo) Henrique & Juliano","1,399,890,855","1,952,926"
"","1,018","","Free 6lack 6lack","1,399,568,980","201,814"
"","1,019","","Sauce Boyz Eladio Carrion","1,398,428,919","758,020"
"","1,020","","Good For You Aminé","1,397,566,942","155,504"
"","1,021","","Un Besito Más Jesse & Joy","1,396,861,335","742,903"
"","1,022","","Chapters James TW","1,394,051,343","185,493"
"","1,023","","Eye Of The Tiger Survivor","1,392,994,608","903,100"
"","1,024","","Sauce Boyz 2 Eladio Carrion","1,392,955,944","1,074,446"
"","1,025","","Off The Wall Michael Jackson","1,392,448,160","1,005,330"
"","1,026","","I've Tried Everything But Therapy Teddy Swims","1,392,066,298","5,751,778"
"","1,027","","Journals Justin Bieber","1,390,247,569","846,800"
"","1,028","","Green River Creedence Clearwater Revival","1,389,922,204","1,272,730"
"","1,029","","Too Low For Zero Elton John","1,389,667,450","1,097,268"
"","1,030","","A Day At The Races Queen","1,388,928,366","543,707"
"","1,031","","Boston Boston","1,387,130,065","589,130"
"","1,032","","Baby On Baby DaBaby","1,387,102,131","152,767"
"","1,033","","PartyNextDoor PartyNextDoor","1,386,277,085","1,325,932"
"","1,034","","GO:OD AM Mac Miller","1,382,433,849","408,032"
"","1,035","","The World Is Yours Rich The Kid","1,381,987,828","147,891"
"","1,036","","Square Up Blackpink","1,380,641,108","446,899"
"","1,037","","Ride The Lightning Metallica","1,379,976,258","897,985"
"","1,038","","Hasta La Raíz Natalia Lafourcade","1,379,559,939","1,013,523"
"","1,039","","Dans La Légende PNL","1,379,133,204","524,948"
"","1,040","","Climaxxx Dalex","1,376,601,205","327,823"
"","1,041","","Weezer (Blue Album) Weezer","1,376,218,746","874,060"
"","1,042","","Birdy Birdy","1,376,018,104","573,687"
"","1,043","","The End Of Everything Noah Cyrus","1,374,462,630","823,839"
"","1,044","","The Diary Of Alicia Keys Alicia Keys","1,371,241,631","1,081,175"
"","1,045","","Purgatory Tyler Childers","1,369,973,470","1,081,425"
"","1,046","","Circus Britney Spears","1,369,445,494","1,056,866"
"","1,047","","Mal De Amores Sofía Reyes","1,368,983,313","293,065"
"","1,048","","Night & Day The Vamps","1,368,127,647","206,169"
"","1,049","","AI YoungBoy 2 YoungBoy Never Broke Again","1,366,781,057","580,421"
"","1,050","","Let It Be The Beatles","1,365,922,382","650,963"
"","1,051","","Fábula Mahalini","1,363,297,391","2,172,794"
"","1,052","","Led Zeppelin II Led Zeppelin","1,362,585,947","474,356"
"","1,053","","Religiously. The Album. Bailey Zimmerman","1,362,321,222","1,730,132"
"","1,054","","Prestige Daddy Yankee","1,362,181,090","745,523"
"","1,055","","Digital Druglord Blackbear","1,361,098,447","157,087"
"","1,056","","Year Of The Gentleman Ne-Yo","1,360,986,047","863,488"
"","1,057","","Goodbye Yellow Brick Road Elton John","1,360,126,736","701,916"
"","1,058","","High School Musical: The Musical: The Series Various Artists","1,359,341,374","604,088"
"","1,059","","Father Of Asahd DJ Khaled","1,358,743,707","174,981"
"","1,060","","Motivan2 Zion & Lennox","1,357,593,701","255,235"
"","1,061","","La Rueda De La Fortuna Alfredo Olivas","1,357,584,100","1,009,309"
"","1,062","","Heavy Is The Head Stormzy","1,357,060,802","345,763"
"","1,063","","Ella Mai Ella Mai","1,354,571,103","392,395"
"","1,064","","Full Moon Fever Tom Petty","1,353,808,025","886,335"
"","1,065","","LM5 Little Mix","1,353,360,882","198,381"
"","1,066","","MTV Unplugged: Música De Fondo Zoé","1,351,830,930","740,090"
"","1,067","","Slipknot Slipknot","1,350,764,355","1,073,709"
"","1,068","","CNCO CNCO","1,349,098,336","194,392"
"","1,069","","Santana World Tay-K","1,348,295,834","555,347"
"","1,070","","Trigga Trey Songz","1,346,869,185","291,930"
"","1,071","","Street Gossip Lil Baby","1,345,683,666","748,040"
"","1,072","","Destin Ninho","1,344,351,516","527,702"
"","1,073","","The Land Is Inhospitable And So Are We Mitski","1,344,173,749","2,448,892"
"","1,074","","Evil Genius Gucci Mane","1,344,045,666","686,315"
"","1,075","","IIII Robin Schulz","1,343,220,451","214,411"
"","1,076","","I Am Not A Human Being II Lil Wayne","1,342,962,273","841,096"
"","1,077","","13 Reasons Why (Season 3) Various artists","1,340,799,771","449,893"
"","1,078","","Starting Over Chris Stapleton","1,340,548,568","1,629,535"
"","1,079","","Ascend Illenium","1,340,480,435","238,570"
"","1,080","","In My Own Words Ne-Yo","1,339,224,226","641,476"
"","1,081","","...Baby One More Time Britney Spears","1,338,472,569","1,271,741"
"","1,082","","Pa Que Hablen Fuerza Regida","1,337,083,122","987,665"
"","1,083","","Astronomical Masked Wolf","1,336,033,532","288,440"
"","1,084","","2 Mac DeMarco","1,335,946,203","1,038,301"
"","1,085","","Control The Streets, Volume 2 Various Artists","1,333,707,821","435,997"
"","1,086","","Primer Dia De Clases Mora","1,333,434,302","1,226,244"
"","1,087","","No Me Pidas Perdón Banda MS De Sergio Lizárraga","1,332,605,847","850,360"
"","1,088","","Gravity Gryffin","1,331,839,442","231,748"
"","1,089","","Is There Anybody Out There? A Great Big World","1,331,190,490","249,597"
"","1,090","","Funhouse P!nk","1,331,139,670","548,285"
"","1,091","","Rubber Soul The Beatles","1,330,881,100","887,050"
"","1,092","","A Town Called Paradise Tiësto","1,330,393,683","185,416"
"","1,093","","Minecraft - Volume Alpha C418","1,327,652,578","1,081,843"
"","1,094","","Take Off Your Pants And Jacket Blink-182","1,327,097,851","664,776"
"","1,095","","Lost On You LP","1,326,540,604","707,978"
"","1,096","","Corridos Tumbados Natanael Cano, Junior H & Dan Sanchez","1,326,047,928","714,721"
"","1,097","","Imagination & The Misfit Kid Labrinth","1,323,588,950","1,021,439"
"","1,098","","Superunknown Soundgarden","1,321,457,906","760,218"
"","1,099","","Collision Course Jay-Z & Linkin Park","1,320,408,553","517,949"
"","1,100","","Up 2 Më Yeat","1,320,093,493","745,764"
