"#","g#","Cover","Album","Streams","Daily"
"","92","","Overexposed Maroon 5","5,495,164,732","3,115,429"
"","93","","Spider-Man: Into The Spider-Verse Various Artists","5,492,124,172","2,355,922"
"","94","","Different World Alan Walker","5,484,887,834","1,727,254"
"","95","","Good Girl Gone Bad Rihanna","5,424,997,473","3,626,698"
"","96","","Birds In The Trap Sing McKnight Travis Scott","5,400,430,314","2,413,463"
"","97","","Red (Taylor's Version) Taylor Swift","5,382,907,067","3,980,577"
"","98","","Certified Lover Boy Drake","5,381,194,309","2,598,670"
"","99","","What Is Love? Clean Bandit","5,368,125,649","1,785,861"
"","100","","Positions Ariana Grande","5,365,956,130","1,875,907"
"","101","","Heroes & Villains Metro Boomin","5,334,331,672","5,004,284"
"","102","","Vida Luis Fonsi","5,316,696,889","1,105,041"
"","103","","The Greatest Showman Various Artists","5,313,442,899","2,139,378"
"","104","","Cry Baby Melanie Martinez","5,292,043,260","2,395,228"
"","105","","Romance Camila Cabello","5,257,863,351","1,879,246"
"","106","","Take Care Drake","5,158,175,044","2,264,770"
"","107","","Blue Jonas Blue","5,143,035,827","2,029,333"
"","108","","The Life Of Pablo Kanye West","5,089,442,786","1,961,558"
"","109","","KG0516 Karol G","5,084,277,631","2,104,219"
"","110","","The Tortured Poets Department Taylor Swift","5,072,324,771","17,983,010"
"","111","","Four One Direction","5,044,911,359","2,914,611"
"","112","","Sweetener Ariana Grande","5,042,343,045","1,207,710"
"","113","","Made In The A.M. One Direction","5,033,449,427","1,767,774"
"","114","","Back From The Edge James Arthur","5,015,560,113","2,281,153"
"","115","","Vice Versa Rauw Alejandro","5,011,202,608","5,921,244"
"","116","","Mercury - Act 1 / 2 Imagine Dragons","4,977,993,945","3,055,851"
"","117","","The Heist Macklemore & Ryan Lewis","4,968,262,504","2,435,377"
"","118","","18 Months Calvin Harris","4,949,854,959","3,406,699"
"","119","","Evermore Taylor Swift","4,944,646,933","3,195,473"
"","120","","Get Rich Or Die Tryin' 50 Cent","4,893,762,169","3,313,905"
"","121","","Appetite For Destruction Guns N' Roses","4,892,764,637","2,630,831"
"","122","","Memories...Do Not Open The Chainsmokers","4,887,775,834","2,283,905"
"","123","","Motion Calvin Harris","4,881,469,794","3,491,909"
"","124","","Nothing But The Beat David Guetta","4,853,393,529","2,032,248"
"","125","","Génesis Peso Pluma","4,834,054,837","5,079,786"
"","126","","Manic Halsey","4,827,830,303","1,133,489"
"","127","","Thriller Michael Jackson","4,809,463,864","2,899,471"
"","128","","2001 Dr. Dre","4,804,120,167","2,537,938"
"","129","","Heaven & Hell Ava Max","4,794,202,400","1,528,554"
"","130","","Midnight Memories One Direction","4,788,060,412","2,313,122"
"","131","","7 David Guetta","4,757,116,895","833,059"
"","132","","Handwritten Shawn Mendes","4,755,577,862","1,437,559"
"","133","","I Love You. The Neighbourhood","4,719,951,014","3,706,082"
"","134","","Ctrl SZA","4,694,540,972","2,871,273"
"","135","","Invasion Of Privacy Cardi B","4,680,564,071","862,905"
"","136","","The Marshall Mathers LP Eminem","4,658,505,552","2,342,204"
"","137","","The Martin Garrix Collection Martin Garrix","4,653,159,932","1,234,381"
"","138","","Homerun Paulo Londra","4,651,783,903","1,944,435"
"","139","","Black Panther The Album Music From And Inspired By Kendrick Lamar & Various Artists","4,643,514,567","2,216,994"
"","140","","Meteora Linkin Park","4,628,706,115","3,496,219"
"","141","","Recovery Eminem","4,626,805,835","1,999,051"
"","142","","Stories Avicii","4,580,356,438","1,887,743"
"","143","","Parachutes Coldplay","4,579,312,304","3,808,436"
"","144","","Dawn FM The Weeknd","4,572,391,820","2,749,238"
